"County","FIPS","Year","Measure Type","Variable","Value"
"Tolland County","09013","1991","Percent","Housing Permits",5.1
"Tolland County","09013","1992","Number","Housing Permits",462
"Tolland County","09013","1992","Percent","Housing Permits",5.6
"Tolland County","09013","1993","Number","Housing Permits",536
"Tolland County","09013","1993","Percent","Housing Permits",6
"Tolland County","09013","1994","Number","Housing Permits",511
"Tolland County","09013","1994","Percent","Housing Permits",5.4
"Tolland County","09013","1995","Number","Housing Permits",444
"Tolland County","09013","1995","Percent","Housing Permits",5.3
"Tolland County","09013","1996","Number","Housing Permits",523
"Tolland County","09013","1996","Percent","Housing Permits",6.7
"Tolland County","09013","1997","Number","Housing Permits",523
"Tolland County","09013","1997","Percent","Housing Permits",5.6
"Tolland County","09013","1998","Number","Housing Permits",714
"Tolland County","09013","1998","Percent","Housing Permits",6
"Tolland County","09013","1999","Number","Housing Permits",792
"Tolland County","09013","1999","Percent","Housing Permits",7.4
"Tolland County","09013","2000","Number","Housing Permits",693
"Tolland County","09013","2000","Percent","Housing Permits",7.4
"Tolland County","09013","2001","Number","Housing Permits",679
"Tolland County","09013","2001","Percent","Housing Permits",7.3
"Tolland County","09013","2002","Number","Housing Permits",742
"Tolland County","09013","2002","Percent","Housing Permits",7.6
"Tolland County","09013","2003","Number","Housing Permits",731
"Tolland County","09013","2003","Percent","Housing Permits",7
"Tolland County","09013","2004","Number","Housing Permits",706
"Tolland County","09013","2004","Percent","Housing Permits",6
"Tolland County","09013","2005","Number","Housing Permits",754
"Tolland County","09013","2005","Percent","Housing Permits",6.3
"Tolland County","09013","2006","Number","Housing Permits",699
"Tolland County","09013","2006","Percent","Housing Permits",7.6
"Tolland County","09013","2007","Number","Housing Permits",526
"Tolland County","09013","2007","Percent","Housing Permits",6.8
"Tolland County","09013","2008","Number","Housing Permits",297
"Tolland County","09013","2008","Percent","Housing Permits",5.7
"Tolland County","09013","2009","Number","Housing Permits",229
"Tolland County","09013","2009","Percent","Housing Permits",6
"Tolland County","09013","2010","Number","Housing Permits",190
"Tolland County","09013","2010","Percent","Housing Permits",4.8
"Tolland County","09013","2011","Number","Housing Permits",333
"Tolland County","09013","2011","Percent","Housing Permits",10.5
"Tolland County","09013","2012","Number","Housing Permits",236
"Tolland County","09013","2012","Percent","Housing Permits",5.1
"Tolland County","09013","2013","Number","Housing Permits",182
"Tolland County","09013","2013","Percent","Housing Permits",3.4
"Tolland County","09013","2014","Number","Housing Permits",203
"Tolland County","09013","2014","Percent","Housing Permits",3.8
"Tolland County","09013","2015","Number","Housing Permits",388
"Tolland County","09013","2015","Percent","Housing Permits",6.4
"Tolland County","09013","2016","Number","Housing Permits",384
"Tolland County","09013","2016","Percent","Housing Permits",7
"Tolland County","09013","2017","Number","Housing Permits",313
"Tolland County","09013","2017","Percent","Housing Permits",6.9
"Windham County","09015","1990","Number","Housing Permits",422
"Windham County","09015","1990","Percent","Housing Permits",5.2
"Windham County","09015","1991","Number","Housing Permits",363
"Windham County","09015","1991","Percent","Housing Permits",4.7
"Windham County","09015","1992","Number","Housing Permits",427
"Windham County","09015","1992","Percent","Housing Permits",5.2
"Windham County","09015","1993","Number","Housing Permits",361
"Windham County","09015","1993","Percent","Housing Permits",4
"Windham County","09015","1994","Number","Housing Permits",362
"Windham County","09015","1994","Percent","Housing Permits",3.8
"Windham County","09015","1995","Number","Housing Permits",309
"Windham County","09015","1995","Percent","Housing Permits",3.7
"Windham County","09015","1996","Number","Housing Permits",274
"Windham County","09015","1996","Percent","Housing Permits",3.5
